id_lokasi,dmgratio_cr_mmi500,dmgratio_mcf_mmi500,dmgratio_mur_mmi500,dmgratio_lightwood_mmi500,dmgratio_cr_mmi250,dmgratio_mcf_mmi250,dmgratio_mur_mmi250,dmgratio_lightwood_mmi250,dmgratio_cr_mmi100,dmgratio_mcf_mmi100,dmgratio_mur_mmi100,dmgratio_lightwood_mmi100
562.0,1.0,1.0,0.938833810356437,1.0,0.9931297258609152,1.0,0.9870754349819677,1.0,0.9511739103618324,0.9785773642292926,0.9421014548274591,0.9947260770549495
563.0,1.0,1.0,0.9388523290121127,1.0,0.9978346039219238,1.0,0.9905349277974709,1.0,0.9788719054698238,0.9916311478020412,0.9681601074164332,1.0
564.0,1.0,1.0,0.9389356669830367,1.0,0.9953610528770604,1.0,0.9890285287860244,1.0,0.9671945780790698,0.9851253074772729,0.9567707574052219,1.0
565.0,1.0,1.0,0.9390308013829978,1.0,1.0,1.0,0.9920244659779007,1.0,0.9839001020031997,0.9984564813375301,0.973789094053972,1.0
566.0,1.0,1.0,0.9393584688953707,1.0,0.9930745935797637,1.0,0.9870186588576568,1.0,0.9486735015866695,0.9774299224578936,0.9398098117556403,0.9939221437546415
567.0,1.0,1.0,0.939551013994386,1.0,0.9946704732576676,1.0,0.9884918367667256,1.0,0.9606476379547919,0.9825210149665894,0.950790960190162,0.9991043173276192
568.0,1.0,1.0,0.9396234653740219,1.0,0.9993126298479865,1.0,0.9911753633970388,1.0,0.977573625278446,0.9905679463553949,0.9668000236820712,1.0
569.0,1.0,1.0,0.9397050166860159,1.0,0.9990150115997324,1.0,0.9910599687553927,1.0,0.9805949903361878,0.9933587162324082,0.9700001598182099,1.0
570.0,1.0,1.0,0.9398211982089897,1.0,0.9965540120785946,1.0,0.9898303444332671,1.0,0.9707897869177298,0.986673343654092,0.9600960361255885,1.0
571.0,1.0,1.0,0.939897613098848,1.0,0.99373626806621,1.0,0.9876713547623969,1.0,0.9634333809770842,0.9836194038481646,0.9533386527932836,1.0
